,Layer
ZT12B1,1
ZT12B2,6
ZT12B3,8
ZT12B4,6
ZT12B5,6
ZT12B6,8
ZT12B7,6
ZT12B8,8
ZT12B9,7
ZT12B10,6
ZT12B11,2
ZT12B12,8
ZT12B13,4
ZT12B14,3
ZT12B15,4
ZT12B16,8
ZT12B17,7
ZT12B18,3
ZT12B19,3
ZT12B20,3
ZT12B21,4
ZT12B22,3
ZT12B23,1
ZT12B24,7
ZT12B25,2
ZT12B26,3
ZT12B27,5
ZT12B28,3
ZT12B29,8
ZT12B30,7
ZT12B31,8
ZT12B32,7
ZT12B33,6
ZT12B34,3
ZT12B35,3
ZT12B36,6
ZT12B37,8
ZT12B38,3
ZT12B39,7
ZT12B40,3
ZT12B41,8
ZT12B42,6
ZT12B43,8
ZT12B44,6
ZT12B45,8
ZT12B46,3
ZT12B47,6
ZT12B48,7
ZT12B49,3
ZT12B50,3
ZT12B51,7
ZT12B52,6
ZT12B53,7
ZT12B54,8
ZT12B55,8
ZT12B56,6
ZT12B57,3
ZT12B58,7
ZT12B59,6
ZT12B60,2
ZT12B61,6
ZT12B62,4
ZT12B63,8
ZT12B64,2
ZT12B65,3
ZT12B66,2
ZT12B67,6
ZT12B68,3
ZT12B69,3
ZT12B70,7
ZT12B71,6
ZT12B72,6
ZT12B73,2
ZT12B74,8
ZT12B75,6
ZT12B76,6
ZT12B77,6
ZT12B78,7
ZT12B79,6
ZT12B80,5
ZT12B81,2
ZT12B82,8
ZT12B83,8
ZT12B84,6
ZT12B85,1
ZT12B86,8
ZT12B87,4
ZT12B88,7
ZT12B89,8
ZT12B90,8
ZT12B91,3
ZT12B92,4
ZT12B93,8
ZT12B94,8
ZT12B95,8
ZT12B96,6
ZT12B97,8
ZT12B98,6
ZT12B99,6
ZT12B100,8
ZT12B101,3
ZT12B102,6
ZT12B103,8
ZT12B104,3
ZT12B105,6
ZT12B106,7
ZT12B107,3
ZT12B108,1
ZT12B109,6
ZT12B110,8
ZT12B111,8
ZT12B112,8
ZT12B113,7
ZT12B114,7
ZT12B115,7
ZT12B116,7
ZT12B117,6
ZT12B118,7
ZT12B119,7
ZT12B120,5
ZT12B121,5
ZT12B122,3
ZT12B123,8
ZT12B124,8
ZT12B125,4
ZT12B126,4
ZT12B127,8
ZT12B128,7
ZT12B129,7
ZT12B130,7
ZT12B131,8
ZT12B132,8
ZT12B133,6
ZT12B134,7
ZT12B135,8
ZT12B136,8
ZT12B137,8
ZT12B138,2
ZT12B139,3
ZT12B140,6
ZT12B141,6
ZT12B142,7
ZT12B143,8
ZT12B144,2
ZT12B145,8
ZT12B146,2
ZT12B147,1
ZT12B148,8
ZT12B149,8
ZT12B150,3
ZT12B151,8
ZT12B152,3
ZT12B153,1
ZT12B154,8
ZT12B155,8
ZT12B156,6
ZT12B157,3
ZT12B158,3
ZT12B159,5
ZT12B160,4
ZT12B161,6
ZT12B162,6
ZT12B163,7
ZT12B164,7
ZT12B165,8
ZT12B166,6
ZT12B167,7
ZT12B168,4
ZT12B169,8
ZT12B170,8
ZT12B171,6
ZT12B172,2
ZT12B173,4
ZT12B174,1
ZT12B175,8
ZT12B176,6
ZT12B177,8
ZT12B178,7
ZT12B179,2
ZT12B180,5
ZT12B181,8
ZT12B182,8
ZT12B183,3
ZT12B184,1
ZT12B185,2
ZT12B186,8
ZT12B187,4
ZT12B188,7
ZT12B189,3
ZT12B190,8
ZT12B191,3
ZT12B192,6
ZT12B193,7
ZT12B194,4
ZT12B195,6
ZT12B196,6
ZT12B197,8
ZT12B198,4
ZT12B199,3
ZT12B200,1
ZT12B201,1
ZT12B202,3
ZT12B203,4
ZT12B204,6
ZT12B205,3
ZT12B206,8
ZT12B207,7
ZT12B208,7
ZT12B209,3
ZT12B210,4
ZT12B211,6
ZT12B212,8
ZT12B213,8
ZT12B214,4
ZT12B215,3
ZT12B216,8
ZT12B217,2
