,Layer
ZT12C1,8
ZT12C2,3
ZT12C3,3
ZT12C4,6
ZT12C5,7
ZT12C6,2
ZT12C7,4
ZT12C8,1
ZT12C9,2
ZT12C10,3
ZT12C11,4
ZT12C12,7
ZT12C13,2
ZT12C14,6
ZT12C15,2
ZT12C16,3
ZT12C17,8
ZT12C18,6
ZT12C19,2
ZT12C20,3
ZT12C21,3
ZT12C22,7
ZT12C23,6
ZT12C24,8
ZT12C25,3
ZT12C26,8
ZT12C27,3
ZT12C28,7
ZT12C29,6
ZT12C30,3
ZT12C31,6
ZT12C32,3
ZT12C33,4
ZT12C34,8
ZT12C35,1
ZT12C36,4
ZT12C37,7
ZT12C38,7
ZT12C39,8
ZT12C40,1
ZT12C41,8
ZT12C42,1
ZT12C43,8
ZT12C44,4
ZT12C45,3
ZT12C46,4
ZT12C47,6
ZT12C48,4
ZT12C49,7
ZT12C50,3
ZT12C51,6
ZT12C52,7
ZT12C53,3
ZT12C54,3
ZT12C55,7
ZT12C56,1
ZT12C57,8
ZT12C58,1
ZT12C59,7
ZT12C60,4
ZT12C61,7
ZT12C62,3
ZT12C63,8
ZT12C64,6
ZT12C65,7
ZT12C66,4
ZT12C67,2
ZT12C68,8
ZT12C69,1
ZT12C70,4
ZT12C71,5
ZT12C72,4
ZT12C73,8
ZT12C74,7
ZT12C75,7
ZT12C76,3
ZT12C77,8
ZT12C78,1
ZT12C79,3
ZT12C80,7
ZT12C81,7
ZT12C82,7
ZT12C83,2
ZT12C84,7
ZT12C85,8
ZT12C86,7
ZT12C87,3
ZT12C88,7
ZT12C89,8
ZT12C90,4
ZT12C91,8
ZT12C92,3
ZT12C93,8
ZT12C94,8
ZT12C95,8
ZT12C96,3
ZT12C97,6
ZT12C98,8
ZT12C99,8
ZT12C100,8
ZT12C101,8
ZT12C102,3
ZT12C103,3
ZT12C104,6
ZT12C105,8
ZT12C106,8
ZT12C107,7
ZT12C108,7
ZT12C109,3
ZT12C110,3
ZT12C111,4
ZT12C112,7
ZT12C113,3
ZT12C114,8
ZT12C115,7
ZT12C116,4
ZT12C117,6
ZT12C118,3
ZT12C119,1
ZT12C120,7
ZT12C121,1
ZT12C122,2
ZT12C123,8
ZT12C124,4
ZT12C125,4
ZT12C126,2
ZT12C127,6
ZT12C128,6
ZT12C129,8
ZT12C130,1
ZT12C131,3
ZT12C132,7
ZT12C133,2
ZT12C134,8
ZT12C135,3
ZT12C136,4
ZT12C137,3
ZT12C138,8
ZT12C139,8
ZT12C140,6
ZT12C141,7
ZT12C142,4
ZT12C143,6
ZT12C144,6
ZT12C145,6
ZT12C146,1
ZT12C147,6
ZT12C148,8
ZT12C149,1
ZT12C150,6
ZT12C151,8
ZT12C152,1
ZT12C153,6
ZT12C154,8
ZT12C155,8
ZT12C156,8
ZT12C157,6
ZT12C158,6
ZT12C159,3
ZT12C160,4
ZT12C161,4
ZT12C162,8
ZT12C163,8
ZT12C164,2
ZT12C165,2
ZT12C166,5
ZT12C167,8
ZT12C168,5
ZT12C169,6
ZT12C170,2
ZT12C171,2
ZT12C172,7
ZT12C173,5
ZT12C174,8
ZT12C175,2
ZT12C176,8
ZT12C177,8
ZT12C178,4
ZT12C179,7
ZT12C180,8
ZT12C181,6
ZT12C182,1
ZT12C183,3
ZT12C184,8
ZT12C185,7
ZT12C186,1
ZT12C187,1
ZT12C188,7
ZT12C189,7
ZT12C190,8
ZT12C191,4
ZT12C192,6
ZT12C193,8
ZT12C194,4
ZT12C195,3
ZT12C196,1
ZT12C197,8
ZT12C198,8
ZT12C199,6
ZT12C200,2
ZT12C201,3
ZT12C202,8
ZT12C203,6
ZT12C204,4
ZT12C205,8
ZT12C206,8
ZT12C207,8
ZT12C208,3
ZT12C209,7
ZT12C210,2
ZT12C211,8
ZT12C212,4
ZT12C213,2
ZT12C214,1
ZT12C215,2
ZT12C216,2
ZT12C217,2
ZT12C218,6
ZT12C219,8
ZT12C220,8
ZT12C221,2
ZT12C222,4
ZT12C223,6
ZT12C224,2
ZT12C225,3
ZT12C226,7
ZT12C227,6
ZT12C228,6
ZT12C229,8
ZT12C230,8
ZT12C231,8
ZT12C232,8
ZT12C233,3
ZT12C234,6
ZT12C235,1
ZT12C236,4
ZT12C237,3
ZT12C238,8
ZT12C239,2
ZT12C240,8
ZT12C241,6
ZT12C242,8
ZT12C243,8
ZT12C244,3
ZT12C245,6
ZT12C246,6
ZT12C247,4
ZT12C248,8
ZT12C249,2
ZT12C250,1
ZT12C251,4
ZT12C252,8
ZT12C253,6
ZT12C254,8
ZT12C255,3
ZT12C256,8
ZT12C257,6
ZT12C258,7
ZT12C259,3
ZT12C260,3
ZT12C261,7
ZT12C262,2
ZT12C263,6
ZT12C264,3
ZT12C265,4
ZT12C266,6
ZT12C267,1
ZT12C268,2
ZT12C269,8
ZT12C270,8
ZT12C271,7
ZT12C272,3
ZT12C273,1
ZT12C274,1
ZT12C275,4
ZT12C276,2
ZT12C277,6
ZT12C278,3
ZT12C279,3
ZT12C280,1
ZT12C281,7
ZT12C282,2
ZT12C283,4
ZT12C284,2
ZT12C285,6
ZT12C286,6
ZT12C287,5
ZT12C288,4
ZT12C289,8
ZT12C290,4
ZT12C291,4
ZT12C292,1
ZT12C293,7
ZT12C294,4
ZT12C295,7
ZT12C296,5
ZT12C297,1
ZT12C298,8
ZT12C299,6
ZT12C300,6
ZT12C301,8
ZT12C302,3
ZT12C303,2
ZT12C304,7
ZT12C305,6
ZT12C306,8
ZT12C307,8
ZT12C308,3
ZT12C309,7
ZT12C310,4
ZT12C311,7
ZT12C312,1
ZT12C313,4
ZT12C314,8
ZT12C315,7
ZT12C316,8
ZT12C317,8
ZT12C318,8
ZT12C319,7
ZT12C320,4
ZT12C321,6
ZT12C322,7
ZT12C323,2
ZT12C324,6
ZT12C325,7
ZT12C326,3
ZT12C327,3
ZT12C328,1
ZT12C329,3
ZT12C330,1
ZT12C331,6
ZT12C332,3
ZT12C333,8
ZT12C334,6
ZT12C335,6
ZT12C336,7
ZT12C337,2
ZT12C338,5
ZT12C339,4
ZT12C340,7
ZT12C341,2
ZT12C342,7
ZT12C343,3
ZT12C344,4
ZT12C345,7
ZT12C346,3
ZT12C347,6
ZT12C348,1
ZT12C349,3
ZT12C350,8
ZT12C351,7
ZT12C352,7
ZT12C353,1
ZT12C354,1
ZT12C355,1
ZT12C356,7
ZT12C357,6
ZT12C358,8
ZT12C359,8
ZT12C360,2
ZT12C361,3
ZT12C362,6
ZT12C363,3
ZT12C364,8
ZT12C365,8
ZT12C366,6
ZT12C367,2
ZT12C368,4
ZT12C369,7
ZT12C370,4
ZT12C371,8
ZT12C372,2
ZT12C373,5
ZT12C374,2
ZT12C375,3
ZT12C376,7
ZT12C377,2
ZT12C378,8
ZT12C379,6
ZT12C380,7
ZT12C381,3
ZT12C382,2
ZT12C383,3
ZT12C384,8
ZT12C385,1
ZT12C386,1
ZT12C387,6
ZT12C388,6
ZT12C389,4
ZT12C390,4
ZT12C391,8
ZT12C392,7
ZT12C393,1
ZT12C394,4
ZT12C395,1
ZT12C396,7
ZT12C397,8
ZT12C398,5
ZT12C399,7
ZT12C400,6
ZT12C401,6
ZT12C402,6
ZT12C403,4
ZT12C404,3
ZT12C405,3
ZT12C406,6
ZT12C407,4
ZT12C408,6
ZT12C409,3
ZT12C410,3
ZT12C411,1
ZT12C412,7
ZT12C413,3
ZT12C414,5
ZT12C415,8
ZT12C416,8
ZT12C417,2
ZT12C418,1
ZT12C419,4
ZT12C420,8
ZT12C421,1
ZT12C422,8
ZT12C423,1
ZT12C424,2
ZT12C425,3
ZT12C426,4
ZT12C427,5
ZT12C428,6
ZT12C429,3
ZT12C430,8
ZT12C431,8
ZT12C432,5
ZT12C433,3
ZT12C434,7
ZT12C435,8
ZT12C436,3
ZT12C437,3
ZT12C438,7
ZT12C439,7
ZT12C440,3
ZT12C441,8
ZT12C442,3
ZT12C443,8
ZT12C444,6
ZT12C445,7
ZT12C446,8
ZT12C447,8
ZT12C448,1
ZT12C449,7
ZT12C450,8
ZT12C451,5
ZT12C452,6
ZT12C453,2
ZT12C454,7
ZT12C455,8
ZT12C456,7
ZT12C457,6
ZT12C458,2
ZT12C459,7
ZT12C460,7
ZT12C461,3
ZT12C462,7
ZT12C463,8
ZT12C464,3
ZT12C465,6
ZT12C466,1
ZT12C467,8
ZT12C468,6
