,Layer
ZT18A1,8
ZT18A2,8
ZT18A3,8
ZT18A4,8
ZT18A5,6
ZT18A6,8
ZT18A7,3
ZT18A8,6
ZT18A9,3
ZT18A10,6
ZT18A11,7
ZT18A12,6
ZT18A13,2
ZT18A14,8
ZT18A15,7
ZT18A16,4
ZT18A17,3
ZT18A18,6
ZT18A19,1
ZT18A20,8
ZT18A21,6
ZT18A22,4
ZT18A23,6
ZT18A24,5
ZT18A25,6
ZT18A26,3
ZT18A27,3
ZT18A28,6
ZT18A29,6
ZT18A30,7
ZT18A31,3
ZT18A32,7
ZT18A33,7
ZT18A34,8
ZT18A35,3
ZT18A36,7
ZT18A37,8
ZT18A38,6
ZT18A39,3
ZT18A40,3
ZT18A41,8
ZT18A42,2
ZT18A43,3
ZT18A44,4
ZT18A45,8
ZT18A46,3
ZT18A47,4
ZT18A48,8
ZT18A49,4
ZT18A50,3
ZT18A51,8
ZT18A52,8
ZT18A53,8
ZT18A54,7
ZT18A55,3
ZT18A56,6
ZT18A57,6
ZT18A58,6
ZT18A59,2
ZT18A60,8
ZT18A61,4
ZT18A62,3
ZT18A63,8
ZT18A64,1
ZT18A65,8
ZT18A66,7
ZT18A67,8
ZT18A68,1
ZT18A69,6
ZT18A70,8
ZT18A71,8
ZT18A72,8
ZT18A73,1
ZT18A74,6
ZT18A75,6
ZT18A76,7
ZT18A77,8
ZT18A78,8
ZT18A79,1
ZT18A80,1
ZT18A81,8
ZT18A82,7
ZT18A83,6
ZT18A84,6
ZT18A85,2
ZT18A86,1
ZT18A87,8
ZT18A88,6
ZT18A89,4
ZT18A90,4
ZT18A91,3
ZT18A92,4
ZT18A93,8
ZT18A94,7
ZT18A95,6
ZT18A96,7
ZT18A97,7
ZT18A98,7
ZT18A99,4
ZT18A100,8
ZT18A101,4
ZT18A102,8
ZT18A103,8
ZT18A104,6
ZT18A105,3
ZT18A106,3
ZT18A107,3
ZT18A108,3
ZT18A109,3
ZT18A110,8
ZT18A111,8
ZT18A112,8
ZT18A113,6
ZT18A114,7
ZT18A115,7
ZT18A116,4
ZT18A117,4
ZT18A118,8
ZT18A119,7
ZT18A120,1
ZT18A121,3
ZT18A122,7
ZT18A123,1
ZT18A124,2
ZT18A125,3
ZT18A126,8
ZT18A127,6
ZT18A128,7
ZT18A129,6
ZT18A130,8
ZT18A131,8
ZT18A132,6
ZT18A133,2
ZT18A134,2
ZT18A135,4
ZT18A136,3
ZT18A137,6
ZT18A138,3
ZT18A139,3
ZT18A140,6
ZT18A141,6
ZT18A142,8
ZT18A143,3
ZT18A144,6
ZT18A145,1
ZT18A146,3
ZT18A147,3
ZT18A148,4
ZT18A149,8
ZT18A150,3
ZT18A151,3
ZT18A152,6
ZT18A153,6
ZT18A154,7
ZT18A155,7
ZT18A156,7
ZT18A157,4
ZT18A158,3
ZT18A159,7
